Date,Flow,Local,Mainland,Others
1/1/2021,Arrival,732,45,10
1/1/2021,Departure,3446,245,32
1/2/2021,Arrival,942,78,12
1/2/2021,Departure,3903,283,35
1/3/2021,Arrival,1770,42,41
1/3/2021,Departure,4692,373,58
1/4/2021,Arrival,1922,68,16
1/4/2021,Departure,4209,417,47
1/5/2021,Arrival,1323,74,22
1/5/2021,Departure,2381,148,58
1/6/2021,Arrival,1376,64,20
1/6/2021,Departure,2116,133,53
1/7/2021,Arrival,1236,60,32
1/7/2021,Departure,2086,126,52
1/8/2021,Arrival,1420,84,30
1/8/2021,Departure,2743,156,52
1/9/2021,Arrival,1323,106,12
1/9/2021,Departure,2845,166,56
1/10/2021,Arrival,1799,99,25
1/10/2021,Departure,2984,202,64
1/11/2021,Arrival,1902,72,15
1/11/2021,Departure,1966,135,39
1/12/2021,Arrival,1571,62,15
1/12/2021,Departure,3199,165,41
1/13/2021,Arrival,1323,70,18
1/13/2021,Departure,2539,146,36
1/14/2021,Arrival,1547,60,17
1/14/2021,Departure,3074,136,79
1/15/2021,Arrival,1825,83,37
1/15/2021,Departure,3525,160,54
1/16/2021,Arrival,1583,141,34
1/16/2021,Departure,3338,142,26
1/17/2021,Arrival,1599,93,33
1/17/2021,Departure,3118,142,34
1/18/2021,Arrival,1838,84,13
1/18/2021,Departure,2256,152,20
1/19/2021,Arrival,1421,88,31
1/19/2021,Departure,2861,151,58
1/20/2021,Arrival,1705,97,21
1/20/2021,Departure,2310,131,28
1/21/2021,Arrival,1233,100,25
1/21/2021,Departure,2234,128,42
1/22/2021,Arrival,1602,83,26
1/22/2021,Departure,1885,90,53
1/23/2021,Arrival,1670,121,29
1/23/2021,Departure,2120,95,40
1/24/2021,Arrival,1892,139,38
1/24/2021,Departure,1795,55,44
1/25/2021,Arrival,1326,91,17
1/25/2021,Departure,1171,41,23
1/26/2021,Arrival,1482,93,13
1/26/2021,Departure,1599,82,49
1/27/2021,Arrival,1765,110,24
1/27/2021,Departure,1273,42,37
1/28/2021,Arrival,1687,91,21
1/28/2021,Departure,1527,62,58
1/29/2021,Arrival,1968,72,15
1/29/2021,Departure,1096,41,32
1/30/2021,Arrival,1883,85,13
1/30/2021,Departure,1103,30,27
1/31/2021,Arrival,2006,67,27
1/31/2021,Departure,838,35,25
